date,route,cargo_type,freight_rate,coal_price,fuel_price,demand,weather_risk
2026-01-01,Newcastle-Chennai,Coal,18.50,102,78,85000,Low
2026-01-02,Newcastle-Chennai,Coal,18.80,103,79,87000,Low
2026-01-03,Newcastle-Chennai,Coal,19.10,104,80,90000,Medium
2026-01-04,Newcastle-Chennai,Coal,19.40,105,81,92000,Medium
2026-01-05,Newcastle-Chennai,Coal,19.00,104,80,88000,Low
2026-01-06,Newcastle-Chennai,Coal,19.60,106,82,95000,Medium
2026-01-07,Newcastle-Chennai,Coal,20.10,107,83,98000,High
2026-01-08,Newcastle-Chennai,Coal,20.40,108,84,100000,High
2026-01-09,Newcastle-Chennai,Coal,20.00,107,83,97000,Medium
2026-01-10,Newcastle-Chennai,Coal,19.70,106,82,94000,Low

2026-01-01,Indonesia-Chennai,Coal,12.50,102,78,82000,Low
2026-01-02,Indonesia-Chennai,Coal,12.80,103,79,84000,Low
2026-01-03,Indonesia-Chennai,Coal,13.10,104,80,87000,Medium
2026-01-04,Indonesia-Chennai,Coal,13.40,105,81,89000,Medium
2026-01-05,Indonesia-Chennai,Coal,13.00,104,80,86000,Low
2026-01-06,Indonesia-Chennai,Coal,13.30,106,82,91000,Medium
2026-01-07,Indonesia-Chennai,Coal,13.80,107,83,94000,High
2026-01-08,Indonesia-Chennai,Coal,14.10,108,84,97000,High
2026-01-09,Indonesia-Chennai,Coal,13.70,107,83,95000,Medium
2026-01-10,Indonesia-Chennai,Coal,13.40,106,82,92000,Low

2026-01-01,RichardsBay-Chennai,Coal,21.00,102,78,78000,Medium
2026-01-02,RichardsBay-Chennai,Coal,21.30,103,79,80000,High
2026-01-03,RichardsBay-Chennai,Coal,21.70,104,80,83000,High
2026-01-04,RichardsBay-Chennai,Coal,22.00,105,81,85000,Medium
2026-01-05,RichardsBay-Chennai,Coal,21.60,104,80,82000,Low
2026-01-06,RichardsBay-Chennai,Coal,22.10,106,82,88000,Medium
2026-01-07,RichardsBay-Chennai,Coal,22.50,107,83,91000,High
2026-01-08,RichardsBay-Chennai,Coal,22.80,108,84,93000,High
2026-01-09,RichardsBay-Chennai,Coal,22.40,107,83,90000,Medium
2026-01-10,RichardsBay-Chennai,Coal,22.00,106,82,87000,Low
